tweet_id,User,Date Created,Number of Likes,Source of Tweet,Tweet
78,Dale Ritchie,2022-12-11 16:03:33+00:00,0,Twitter for iPhone,“Even if people … want to claim that the Biden administration is giving too much support for Ukraine … they’re repl… https://t.co/AUdeh9xWtg
79,​​​​​​​​𝖙𝖆𝖖𝖚𝖎𝖓𝖊𝖕𝖆𝖘𝖒𝖊́𝖒𝖊́06 ✿◕‿◕ ℝ,2022-12-11 16:03:28+00:00,0,Twitter Web App,La cour d'appel fédérale interdit à l'administration Biden de forcer les groupes catholiques à fournir des soins tr… https://t.co/P5RhocxNpm
80,Debbie,2022-12-11 16:03:23+00:00,2,Twitter for iPhone,"@TheLeoTerrell Trump did NOTHING!

David Whelan said this administration “has engaged in far greater outreach with… https://t.co/79lE5bUOAI"
81,Carol Newby,2022-12-11 16:03:13+00:00,0,Twitter for Android,The Fake News or MSM and Big Tech like Facebook is controlled by the Biden Administration or they are allowing that… https://t.co/oU0Hjw1ehg
82,Steve Thomas,2022-12-11 16:03:12+00:00,0,Twitter for iPhone,@EddieHammer6 @SenateGOP If that's true somebody should do something to fix it. The biden administration is in char… https://t.co/Gwmf3N4FsI
83,Sol,2022-12-11 16:03:09+00:00,0,Twitter Web App,"RT @theIMEU: Israel denies Palestinians freedom and safety on a daily basis, yet the US keeps funding Israel's brutal military. If the US t…"
84,Cookedgooseinflorida,2022-12-11 16:03:05+00:00,0,Twitter for iPhone,"RT @RNCResearch: Despite revelations to the contrary this week, top Biden spokesman John Kirby vehemently denies the Biden administration a…"
85,🦋Inquiring minds want to know...🤔,2022-12-11 16:02:59+00:00,0,Twitter Web App,RT @RogerJStoneJr: Describe the Biden Administration in one word.
86,ÇJ AkpaBomB,2022-12-11 16:02:54+00:00,0,Twitter for Android,RT @TheLeoTerrell: The Biden’s Administration lies everyday about everything to the American People!
87,Francien Brands,2022-12-11 16:02:54+00:00,0,Twitter for Android,"RT @JamesfWells: Elon has publicly backed Desantis for president and has promised to release #TwitterFiles on covid

Desantis is going to u…"
88,Ayne Malik,2022-12-11 16:02:47+00:00,0,Twitter for iPhone,"RT @steve_hanke: #EconWatch: The Biden Administration has already delivered $22.1 billion in ill-advised aid to #Ukraine, more than the ENT…"
89,kathy,2022-12-11 16:02:43+00:00,0,Twitter for iPhone,"RT @RNCResearch: Despite revelations to the contrary this week, top Biden spokesman John Kirby vehemently denies the Biden administration a…"
90,Joe,2022-12-11 16:02:41+00:00,0,Twitter for iPad,"RT @JacobWindrix: @DonaldJTrumpJr Trump turned down Paul Whelan and Viktor Bout prisoner swap years ago, John Bolton says

Trump blasted th…"
91,Brian Childers,2022-12-11 16:02:40+00:00,0,Twitter for iPhone,"RT @HeyTammyBruce: Federal appeals court bars Biden administration from forcing Catholic groups to provide transgender care; 
This is the 2…"
92,Michael Russell,2022-12-11 16:02:38+00:00,0,Twitter for Android,"RT @WhiteHouse: On the 81st anniversary of Pearl Harbor, the Biden-Harris Administration honors our Greatest Generation and recommits to en…"
93,BJW,2022-12-11 16:02:36+00:00,0,Twitter for iPhone,Lockerbie bombing suspect in US custody - Great Job Biden administration once again  https://t.co/W3cE34dmdp
94,sherryl,2022-12-11 16:02:33+00:00,0,Twitter for Android,RT @Out5p0ken: Former National Security Adviser John Bolton revealed in a CBS interview that Trump turned down a chance to secure Paul Whel…
